	Temperature	SigmaT_saturation
702	0.003	0.6803358558505127
703	0.004	0.6804611250212286
704	0.005	0.6806221515055264
705	0.006	0.6808189099315248
706	0.006999999999999999	0.681051369329974
707	0.008	0.6813194931584184
708	0.009000000000000001	0.6816232393298681
709	0.01	0.6819625602458035
710	0.011000000000000001	0.6823374028329704
711	0.012	0.682747708585235
712	0.012999999999999998	0.6831934136079877
713	0.013999999999999999	0.6836744486683143
714	0.015	0.6841907392473502
715	0.016	0.6847422055981153
716	0.016999999999999998	0.6853287628055414
717	0.018000000000000002	0.6859503208505605
718	0.019	0.6866067846789222
719	0.02	0.6872980542709787
720	0.021	0.6880240247170271
721	0.022000000000000002	0.688784586294199
722	0.023000000000000003	0.6895796245472009
723	0.024	0.6904090203714488
724	0.024999999999999998	0.6912726500994191
725	0.025999999999999995	0.6921703855889207
726	0.027	0.6931020943140401
727	0.027999999999999997	0.6940676394592824
728	0.029	0.695066880013576
729	0.03	0.6960996708692907
730	0.031	0.6971658629212326
731	0.032	0.6982653031668792
732	0.032999999999999995	0.6993978348091263
733	0.034	0.7005632973618791
734	0.035	0.7017615267534909
735	0.036000000000000004	0.7029923554326614
736	0.037000000000000005	0.7042556124790148
737	0.038	0.7055511237076794
738	0.039	0.7068787117803972
739	0.04	0.708238196312205
740	0.040999999999999995	0.7096293939855597
741	0.042	0.7110521186575122
742	0.043	0.7125061814692009
743	0.044000000000000004	0.71399139095777
744	0.044999999999999984	0.7155075531657789
745	0.046000000000000006	0.7170544717512721
746	0.047	0.7186319480964252
747	0.048	0.7202397814180649
748	0.049	0.7218777688740173
749	0.04999999999999999	0.7235457056728575
750	0.051	0.7252433851792635
751	0.05199999999999999	0.7269705990206129
752	0.052999999999999985	0.72872713719205
753	0.053999999999999986	0.7305127881600041
754	0.055	0.7323273389652926
755	0.055999999999999994	0.7341705753243863
756	0.057	0.736042281729696
757	0.058	0.7379422415481278
758	0.059000000000000004	0.7398702371186014
759	0.06000000000000001	0.7418260498473688
760	0.061	0.7438094603027758
761	0.062	0.7458202483073901
762	0.063	0.7478581930286772
763	0.064	0.7499230730684574
764	0.06499999999999999	0.752014666549978
765	0.06599999999999999	0.7541327512034302
766	0.067	0.7562771044495437
767	0.06799999999999999	0.7584475034812779
768	0.069	0.7606437253438506
769	0.07	0.7628655470123427
770	0.071	0.7651127454678175
771	0.07200000000000001	0.7673850977715424
772	0.073	0.7696823811364345
773	0.07400000000000001	0.7720043729975731
774	0.075	0.7743508510800533
775	0.076	0.7767215934651022
776	0.077	0.7791163786540691
777	0.078	0.7815349856305723
778	0.079	0.7839771939206416
779	0.08	0.7864427836507256
780	0.081	0.7889315356039671
781	0.08199999999999999	0.7914432312744275
782	0.083	0.7939776529193607
783	0.08399999999999999	0.7965345836095343
784	0.085	0.7991138072779027
785	0.086	0.801715108766152
786	0.08700000000000001	0.8043382738693874
787	0.08800000000000001	0.8069830893791947
788	0.08900000000000001	0.8096493431246617
789	0.08999999999999997	0.8123368240121431
790	0.091	0.8150453220621608
791	0.092	0.8177746284461708
792	0.093	0.8205245355200799
793	0.094	0.8232948368576162
794	0.095	0.8260853272801986
795	0.096	0.8288958028875486
796	0.097	0.8317260610845323
797	0.098	0.8345759006078121
798	0.099	0.8374451215504517
799	0.09999999999999998	0.8403335253858918
800	0.001	0.6801926628344344
801	0.002	0.6802463637477791
802	0.003	0.6803358558505127
803	0.004	0.6804611250212286
804	0.005	0.6806221515055264
805	0.006	0.6808189099315248
806	0.006999999999999999	0.681051369329974
807	0.008	0.6813194931584184
808	0.009000000000000001	0.6816232393298681
809	0.01	0.6819625602458035
810	0.011000000000000001	0.6823374028329704
811	0.012	0.682747708585235
812	0.012999999999999998	0.6831934136079877
813	0.013999999999999999	0.6836744486683143
814	0.015	0.6841907392473502
815	0.016	0.6847422055981153
816	0.016999999999999998	0.6853287628055414
817	0.018000000000000002	0.6859503208505605
818	0.019	0.6866067846789222
819	0.02	0.6872980542709787
820	0.021	0.6880240247170271
821	0.022000000000000002	0.688784586294199
822	0.023000000000000003	0.6895796245472009
823	0.024	0.6904090203714488
824	0.024999999999999998	0.6912726500994191
825	0.025999999999999995	0.6921703855889207
826	0.027	0.6931020943140401
827	0.027999999999999997	0.6940676394592824
828	0.029	0.695066880013576
829	0.03	0.6960996708692907
830	0.031	0.6971658629212326
831	0.032	0.6982653031668792
832	0.032999999999999995	0.6993978348091263
833	0.034	0.7005632973618791
834	0.035	0.7017615267534909
835	0.036000000000000004	0.7029923554326614
836	0.037000000000000005	0.7042556124790148
837	0.038	0.7055511237076794
838	0.039	0.7068787117803972
839	0.04	0.708238196312205
840	0.040999999999999995	0.7096293939855597
841	0.042	0.7110521186575122
842	0.043	0.7125061814692009
843	0.044000000000000004	0.71399139095777
844	0.044999999999999984	0.7155075531657789
845	0.046000000000000006	0.7170544717512721
846	0.047	0.7186319480964252
847	0.048	0.7202397814180649
848	0.049	0.7218777688740173
849	0.04999999999999999	0.7235457056728575
850	0.051	0.7252433851792635
851	0.05199999999999999	0.7269705990206129
852	0.052999999999999985	0.72872713719205
853	0.053999999999999986	0.7305127881600041
854	0.055	0.7323273389652926
855	0.055999999999999994	0.7341705753243863
